complex_id,ligand_file,protein_file,pocket_file,affinity,measure,resolution,year
6abx,data/raw/PDBbind_v2020_refined/refined-set/6abx/6abx_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/6abx/6abx_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/6abx/6abx_pocket.pdb,2.14,pKd,1.7,2019
4q90,data/raw/PDBbind_v2020_refined/refined-set/4q90/4q90_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/4q90/4q90_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/4q90/4q90_pocket.pdb,2.15,pKd,1.54,2015
5cs3,data/raw/PDBbind_v2020_refined/refined-set/5cs3/5cs3_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/5cs3/5cs3_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/5cs3/5cs3_pocket.pdb,2.15,pKd,2.5,2015
4tim,data/raw/PDBbind_v2020_refined/refined-set/4tim/4tim_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/4tim/4tim_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/4tim/4tim_pocket.pdb,2.16,pKd,2.4,1992
5fe6,data/raw/PDBbind_v2020_refined/refined-set/5fe6/5fe6_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/5fe6/5fe6_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/5fe6/5fe6_pocket.pdb,2.16,pKd,1.77,2016
6ghj,data/raw/PDBbind_v2020_refined/refined-set/6ghj/6ghj_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/6ghj/6ghj_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/6ghj/6ghj_pocket.pdb,2.16,pKd,2.26,2018
3gqz,data/raw/PDBbind_v2020_refined/refined-set/3gqz/3gqz_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/3gqz/3gqz_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/3gqz/3gqz_pocket.pdb,2.17,pKd,1.8,2009
4y3j,data/raw/PDBbind_v2020_refined/refined-set/4y3j/4y3j_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/4y3j/4y3j_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/4y3j/4y3j_pocket.pdb,2.17,pKd,1.31,2016
5oxk,data/raw/PDBbind_v2020_refined/refined-set/5oxk/5oxk_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/5oxk/5oxk_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/5oxk/5oxk_pocket.pdb,2.17,pKd,2.38,2018
5z5f,data/raw/PDBbind_v2020_refined/refined-set/5z5f/5z5f_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/5z5f/5z5f_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/5z5f/5z5f_pocket.pdb,2.17,pKd,2.1,2018
4ahr,data/raw/PDBbind_v2020_refined/refined-set/4ahr/4ahr_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/4ahr/4ahr_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/4ahr/4ahr_pocket.pdb,2.19,pKd,1.9,2012
4ahs,data/raw/PDBbind_v2020_refined/refined-set/4ahs/4ahs_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/4ahs/4ahs_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/4ahs/4ahs_pocket.pdb,2.19,pKd,1.75,2012
4mre,data/raw/PDBbind_v2020_refined/refined-set/4mre/4mre_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/4mre/4mre_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/4mre/4mre_pocket.pdb,2.19,pKd,1.58,2014
1x8d,data/raw/PDBbind_v2020_refined/refined-set/1x8d/1x8d_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/1x8d/1x8d_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/1x8d/1x8d_pocket.pdb,2.21,pKd,1.8,2005
4g0z,data/raw/PDBbind_v2020_refined/refined-set/4g0z/4g0z_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/4g0z/4g0z_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/4g0z/4g0z_pocket.pdb,2.21,pKd,1.75,2012
1m0n,data/raw/PDBbind_v2020_refined/refined-set/1m0n/1m0n_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/1m0n/1m0n_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/1m0n/1m0n_pocket.pdb,2.22,pKd,2.2,2002
2aac,data/raw/PDBbind_v2020_refined/refined-set/2aac/2aac_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/2aac/2aac_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/2aac/2aac_pocket.pdb,2.22,pKd,1.6,1997
4aci,data/raw/PDBbind_v2020_refined/refined-set/4aci/4aci_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/4aci/4aci_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/4aci/4aci_pocket.pdb,2.22,pKd,1.65,2012
4ury,data/raw/PDBbind_v2020_refined/refined-set/4ury/4ury_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/4ury/4ury_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/4ury/4ury_pocket.pdb,2.22,pKd,2.47,2015
1ajp,data/raw/PDBbind_v2020_refined/refined-set/1ajp/1ajp_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/1ajp/1ajp_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/1ajp/1ajp_pocket.pdb,2.23,pKd,2.31,1997
3ao5,data/raw/PDBbind_v2020_refined/refined-set/3ao5/3ao5_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/3ao5/3ao5_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/3ao5/3ao5_pocket.pdb,2.23,pKd,1.8,2011
3i3b,data/raw/PDBbind_v2020_refined/refined-set/3i3b/3i3b_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/3i3b/3i3b_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/3i3b/3i3b_pocket.pdb,2.23,pKd,2.2,2010
5m9w,data/raw/PDBbind_v2020_refined/refined-set/5m9w/5m9w_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/5m9w/5m9w_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/5m9w/5m9w_pocket.pdb,2.24,pKd,1.21,2017
1ew8,data/raw/PDBbind_v2020_refined/refined-set/1ew8/1ew8_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/1ew8/1ew8_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/1ew8/1ew8_pocket.pdb,2.26,pKd,2.2,2002
4np2,data/raw/PDBbind_v2020_refined/refined-set/4np2/4np2_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/4np2/4np2_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/4np2/4np2_pocket.pdb,2.26,pKd,1.75,2014
1uto,data/raw/PDBbind_v2020_refined/refined-set/1uto/1uto_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/1uto/1uto_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/1uto/1uto_pocket.pdb,2.27,pKd,1.15,2004
4ahu,data/raw/PDBbind_v2020_refined/refined-set/4ahu/4ahu_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/4ahu/4ahu_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/4ahu/4ahu_pocket.pdb,2.27,pKd,1.9,2012
1ps3,data/raw/PDBbind_v2020_refined/refined-set/1ps3/1ps3_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/1ps3/1ps3_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/1ps3/1ps3_pocket.pdb,2.28,pKd,1.8,2003
3ip8,data/raw/PDBbind_v2020_refined/refined-set/3ip8/3ip8_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/3ip8/3ip8_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/3ip8/3ip8_pocket.pdb,2.28,pKd,1.5,2009
4ddk,data/raw/PDBbind_v2020_refined/refined-set/4ddk/4ddk_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/4ddk/4ddk_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/4ddk/4ddk_pocket.pdb,2.29,pKd,1.75,2013
3dyo,data/raw/PDBbind_v2020_refined/refined-set/3dyo/3dyo_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/3dyo/3dyo_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/3dyo/3dyo_pocket.pdb,2.3,pKd,1.8,2008
3kgq,data/raw/PDBbind_v2020_refined/refined-set/3kgq/3kgq_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/3kgq/3kgq_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/3kgq/3kgq_pocket.pdb,2.3,pKd,1.7,2010
3mhw,data/raw/PDBbind_v2020_refined/refined-set/3mhw/3mhw_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/3mhw/3mhw_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/3mhw/3mhw_pocket.pdb,2.3,pKd,1.45,2010
3pcg,data/raw/PDBbind_v2020_refined/refined-set/3pcg/3pcg_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/3pcg/3pcg_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/3pcg/3pcg_pocket.pdb,2.3,pKd,1.96,1998
3rv4,data/raw/PDBbind_v2020_refined/refined-set/3rv4/3rv4_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/3rv4/3rv4_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/3rv4/3rv4_pocket.pdb,2.3,pKd,1.98,2011
4g0y,data/raw/PDBbind_v2020_refined/refined-set/4g0y/4g0y_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/4g0y/4g0y_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/4g0y/4g0y_pocket.pdb,2.3,pKd,1.65,2012
4jsz,data/raw/PDBbind_v2020_refined/refined-set/4jsz/4jsz_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/4jsz/4jsz_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/4jsz/4jsz_pocket.pdb,2.3,pKd,1.9,2013
1m0o,data/raw/PDBbind_v2020_refined/refined-set/1m0o/1m0o_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/1m0o/1m0o_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/1m0o/1m0o_pocket.pdb,2.31,pKd,2.4,2002
4y0a,data/raw/PDBbind_v2020_refined/refined-set/4y0a/4y0a_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/4y0a/4y0a_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/4y0a/4y0a_pocket.pdb,2.31,pKd,1.91,2015
5mz8,data/raw/PDBbind_v2020_refined/refined-set/5mz8/5mz8_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/5mz8/5mz8_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/5mz8/5mz8_pocket.pdb,2.31,pKd,2.2,2017
5aol,data/raw/PDBbind_v2020_refined/refined-set/5aol/5aol_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/5aol/5aol_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/5aol/5aol_pocket.pdb,2.32,pKd,1.5,2015
4iie,data/raw/PDBbind_v2020_refined/refined-set/4iie/4iie_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/4iie/4iie_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/4iie/4iie_pocket.pdb,2.34,pKd,2.0,2013
3gtc,data/raw/PDBbind_v2020_refined/refined-set/3gtc/3gtc_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/3gtc/3gtc_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/3gtc/3gtc_pocket.pdb,2.35,pKd,1.9,2009
4y3y,data/raw/PDBbind_v2020_refined/refined-set/4y3y/4y3y_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/4y3y/4y3y_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/4y3y/4y3y_pocket.pdb,2.35,pKd,1.35,2016
3g2z,data/raw/PDBbind_v2020_refined/refined-set/3g2z/3g2z_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/3g2z/3g2z_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/3g2z/3g2z_pocket.pdb,2.36,pKd,1.5,2009
5fsc,data/raw/PDBbind_v2020_refined/refined-set/5fsc/5fsc_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/5fsc/5fsc_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/5fsc/5fsc_pocket.pdb,2.36,pKd,1.95,2017
3t0d,data/raw/PDBbind_v2020_refined/refined-set/3t0d/3t0d_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/3t0d/3t0d_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/3t0d/3t0d_pocket.pdb,2.37,pKd,1.93,2012
6rnt,data/raw/PDBbind_v2020_refined/refined-set/6rnt/6rnt_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/6rnt/6rnt_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/6rnt/6rnt_pocket.pdb,2.37,pKd,1.8,1993
3f6e,data/raw/PDBbind_v2020_refined/refined-set/3f6e/3f6e_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/3f6e/3f6e_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/3f6e/3f6e_pocket.pdb,2.38,pKd,1.34,2008
6md8,data/raw/PDBbind_v2020_refined/refined-set/6md8/6md8_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/6md8/6md8_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/6md8/6md8_pocket.pdb,2.38,pKd,1.4,2019
1f73,data/raw/PDBbind_v2020_refined/refined-set/1f73/1f73_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/1f73/1f73_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/1f73/1f73_pocket.pdb,2.39,pKd,1.95,2000
1nwl,data/raw/PDBbind_v2020_refined/refined-set/1nwl/1nwl_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/1nwl/1nwl_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/1nwl/1nwl_pocket.pdb,2.39,pKd,2.4,2003
4u5s,data/raw/PDBbind_v2020_refined/refined-set/4u5s/4u5s_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/4u5s/4u5s_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/4u5s/4u5s_pocket.pdb,2.41,pKd,2.12,2015
4u5o,data/raw/PDBbind_v2020_refined/refined-set/4u5o/4u5o_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/4u5o/4u5o_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/4u5o/4u5o_pocket.pdb,2.42,pKd,2.0,2015
6mli,data/raw/PDBbind_v2020_refined/refined-set/6mli/6mli_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/6mli/6mli_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/6mli/6mli_pocket.pdb,2.43,pKd,1.88,2019
1oba,data/raw/PDBbind_v2020_refined/refined-set/1oba/1oba_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/1oba/1oba_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/1oba/1oba_pocket.pdb,2.44,pKd,2.45,2003
3mjl,data/raw/PDBbind_v2020_refined/refined-set/3mjl/3mjl_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/3mjl/3mjl_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/3mjl/3mjl_pocket.pdb,2.44,pKd,1.9,2010
4ddm,data/raw/PDBbind_v2020_refined/refined-set/4ddm/4ddm_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/4ddm/4ddm_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/4ddm/4ddm_pocket.pdb,2.46,pKd,1.83,2013
4x8u,data/raw/PDBbind_v2020_refined/refined-set/4x8u/4x8u_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/4x8u/4x8u_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/4x8u/4x8u_pocket.pdb,2.46,pKd,2.1,2015
1utl,data/raw/PDBbind_v2020_refined/refined-set/1utl/1utl_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/1utl/1utl_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/1utl/1utl_pocket.pdb,2.47,pKd,1.7,2004
4y4j,data/raw/PDBbind_v2020_refined/refined-set/4y4j/4y4j_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/4y4j/4y4j_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/4y4j/4y4j_pocket.pdb,2.47,pKd,1.03,2016
6fhq,data/raw/PDBbind_v2020_refined/refined-set/6fhq/6fhq_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/6fhq/6fhq_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/6fhq/6fhq_pocket.pdb,2.47,pKd,1.95,2018
1gyx,data/raw/PDBbind_v2020_refined/refined-set/1gyx/1gyx_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/1gyx/1gyx_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/1gyx/1gyx_pocket.pdb,2.48,pKd,1.35,2002
4u5n,data/raw/PDBbind_v2020_refined/refined-set/4u5n/4u5n_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/4u5n/4u5n_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/4u5n/4u5n_pocket.pdb,2.48,pKd,2.31,2015
5mn1,data/raw/PDBbind_v2020_refined/refined-set/5mn1/5mn1_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/5mn1/5mn1_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/5mn1/5mn1_pocket.pdb,2.48,pKd,0.79,2017
4efk,data/raw/PDBbind_v2020_refined/refined-set/4efk/4efk_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/4efk/4efk_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/4efk/4efk_pocket.pdb,2.49,pKd,1.7,2013
4kz7,data/raw/PDBbind_v2020_refined/refined-set/4kz7/4kz7_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/4kz7/4kz7_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/4kz7/4kz7_pocket.pdb,2.49,pKd,1.43,2014
1ai4,data/raw/PDBbind_v2020_refined/refined-set/1ai4/1ai4_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/1ai4/1ai4_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/1ai4/1ai4_pocket.pdb,2.5,pKd,2.35,1997
3g30,data/raw/PDBbind_v2020_refined/refined-set/3g30/3g30_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/3g30/3g30_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/3g30/3g30_pocket.pdb,2.51,pKd,1.8,2009
3gr2,data/raw/PDBbind_v2020_refined/refined-set/3gr2/3gr2_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/3gr2/3gr2_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/3gr2/3gr2_pocket.pdb,2.52,pKd,1.8,2009
3mfv,data/raw/PDBbind_v2020_refined/refined-set/3mfv/3mfv_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/3mfv/3mfv_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/3mfv/3mfv_pocket.pdb,2.52,pKd,1.9,2010
3vdb,data/raw/PDBbind_v2020_refined/refined-set/3vdb/3vdb_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/3vdb/3vdb_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/3vdb/3vdb_pocket.pdb,2.52,pKd,2.05,2012
4g0q,data/raw/PDBbind_v2020_refined/refined-set/4g0q/4g0q_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/4g0q/4g0q_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/4g0q/4g0q_pocket.pdb,2.52,pKd,1.8,2012
4urz,data/raw/PDBbind_v2020_refined/refined-set/4urz/4urz_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/4urz/4urz_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/4urz/4urz_pocket.pdb,2.52,pKd,2.24,2015
4hj2,data/raw/PDBbind_v2020_refined/refined-set/4hj2/4hj2_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/4hj2/4hj2_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/4hj2/4hj2_pocket.pdb,2.53,pKd,2.1,2013
3b3s,data/raw/PDBbind_v2020_refined/refined-set/3b3s/3b3s_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/3b3s/3b3s_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/3b3s/3b3s_pocket.pdb,2.55,pKd,1.18,2007
3ovn,data/raw/PDBbind_v2020_refined/refined-set/3ovn/3ovn_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/3ovn/3ovn_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/3ovn/3ovn_pocket.pdb,2.55,pKd,1.95,2011
1gwv,data/raw/PDBbind_v2020_refined/refined-set/1gwv/1gwv_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/1gwv/1gwv_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/1gwv/1gwv_pocket.pdb,2.57,pKd,2.5,2003
3kgp,data/raw/PDBbind_v2020_refined/refined-set/3kgp/3kgp_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/3kgp/3kgp_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/3kgp/3kgp_pocket.pdb,2.57,pKd,2.35,2009
3gvb,data/raw/PDBbind_v2020_refined/refined-set/3gvb/3gvb_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/3gvb/3gvb_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/3gvb/3gvb_pocket.pdb,2.59,pKd,1.8,2009
4o3c,data/raw/PDBbind_v2020_refined/refined-set/4o3c/4o3c_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/4o3c/4o3c_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/4o3c/4o3c_pocket.pdb,2.59,pKd,1.5,2014
2r5a,data/raw/PDBbind_v2020_refined/refined-set/2r5a/2r5a_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/2r5a/2r5a_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/2r5a/2r5a_pocket.pdb,2.6,pKd,2.3,2007
4up5,data/raw/PDBbind_v2020_refined/refined-set/4up5/4up5_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/4up5/4up5_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/4up5/4up5_pocket.pdb,2.6,pKd,1.65,2014
5g46,data/raw/PDBbind_v2020_refined/refined-set/5g46/5g46_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/5g46/5g46_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/5g46/5g46_pocket.pdb,2.6,pKd,1.76,2016
3f37,data/raw/PDBbind_v2020_refined/refined-set/3f37/3f37_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/3f37/3f37_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/3f37/3f37_pocket.pdb,2.62,pKd,1.54,2009
5lvd,data/raw/PDBbind_v2020_refined/refined-set/5lvd/5lvd_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/5lvd/5lvd_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/5lvd/5lvd_pocket.pdb,2.62,pKd,1.25,2017
1ajn,data/raw/PDBbind_v2020_refined/refined-set/1ajn/1ajn_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/1ajn/1ajn_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/1ajn/1ajn_pocket.pdb,2.63,pKd,2.36,1997
